ID	TRI	textTitle-freetext	Form	status	shelfmark	range_views	Date	Scripta
btv1b8415202d_Roman-d-Énéas_Roman-d-Énéas	Roman d’Énéas	Roman d’Énéas	verse		français 1450	175-234	1231-1250
btv1b90596595_Yde-et-Olive_Yde-et-Olive	Yde et Olive	Yde et Olive	verse		français 1451	226-227	1401-1500
btv1b8454675g_romans-de-Fauvel_romans-de-Fauvel	romans de Fauvel	romans de Fauvel	verse		français 146	13-108	1301-1325
btv1b9058887v_enfances-Garin-de-Monglane_enfances-Garin-de-Monglane	enfances Garin de Monglane	enfances Garin de Monglane	verse		français 1460	2-96	1441-1460
btv1b9058887v_Garin-de-Monglane_Version-en-vers	Garin de Monglane	Version en vers			français 1460	96-269	1441-1460
btv1b9058847b_Gerbert-de-Metz_Gerbert-de-Metz	Gerbert de Metz	Gerbert de Metz	verse		français 1461	115-116, 118-119	1201-1300
btv1b9058847b_Garin-le-Loherain_Version-en-décasyllabes	Garin le Loherain	Version en décasyllabes	verse		français 1461	3-115	1201-1300
btv1b90593453_Galien-le-restoré_Version-en-prose-1	Galien le restoré	Version en prose 1	prose		français 1470	2-235	1446-1455
btv1b9059344p_enfances-Ogier_enfances-Ogier	enfances Ogier	enfances Ogier	verse		français 1471	3-166	1276-1300
btv1b9009485k_Gui-de-Warwick_Version-en-prose	Gui de Warwick	Version en prose	prose		français 1476	3-89	1401-1500
btv1b90073668_Beuve-de-Hantone_Version-en-prose	Beuve de Hantone	Version en prose	prose		français 1477	4-238	1401-1500
btv1b90589112_Tristan-de-Nanteuil_Tristan-de-Nanteuil	Tristan de Nanteuil	Tristan de Nanteuil	verse		français 1478	2-337	1401-1500
btv1b10720619x_Belle-Hélène-de-Constantinople_Version-anonyme-en-prose	Belle Hélène de Constantinople	Version anonyme en prose	prose		français 1489	6-62	1451-1500
btv1b9058093t_Cleriadus-et-Meliadice_Cleriadus-et-Meliadice	Cleriadus et Meliadice	Cleriadus et Meliadice			français 1494	2-115	1435-1500
btv1b90580947_Cleriadus-et-Meliadice_Cleriadus-et-Meliadice	Cleriadus et Meliadice	Cleriadus et Meliadice			français 1495	2-193	1435-1500
btv1b90600941_Aimeri-de-Narbonne_prose-Guillaume-d-Orange-1401-1500	Aimeri de Narbonne	prose: Guillaume d'Orange, 1401-1500	prose	translation or rewriting	français 1497	4-35	1461-1470
btv1b90613662_Lai-de-l-Ombre_Lai-de-l-Ombre	Lai de l’Ombre	Lai de l’Ombre	verse		français 14971	51-59	1301-1400
btv1b9059209w_Fierabras_Fierabras	Fierabras	Fierabras	verse		français 1499	2-109	1461-1470
btv1b52502912r_Theseus-de-Cologne_Version-abrégée-en-prose	Theseus de Cologne	Version abrégée en prose	prose		français 15096	5-162	1401-1500
btv1b9061349j_Gaydon_Gaydon	Gaydon	Gaydon	verse		français 15102	2-163	1201-1250
btv1b10721207f_Girart-de-Roussillon_Version-en-alexandrins	Girart de Roussillon	Version en alexandrins	verse		français 15103	7-153	1401-1500
btv1b9062000k_Chanson-de-saint-Alexis_Chanson-de-saint-Alexis	Chanson de saint Alexis	Chanson de saint Alexis			français 15217	14-25	1451-1500
btv1b8454669r_Récit-apocryphe-de-la-formation-d-Adam_Récit-apocryphe-de-la-formation-d-Adam	Récit apocryphe de la formation d'Adam	Récit apocryphe de la formation d'Adam	prose		français 1553	576-578	1284
btv1b8454669r_Sept-Sages-de-Rome_Sept-Sages-de-Rome	Sept Sages de Rome	Sept Sages de Rome	verse		français 1553	680-738	1284
btv1b8454669r_venjance-Nostre-Seigneur_venjance-Nostre-Seigneur	venjance Nostre Seigneur	venjance Nostre Seigneur	verse		français 1553	761-790	1284
btv1b8454669r_Chanson-de-saint-Alexis_Chanson-de-saint-Alexis	Chanson de saint Alexis	Chanson de saint Alexis			français 1553	790-805	1284
btv1b8454669r_Lai-de-l-Ombre_Lai-de-l-Ombre	Lai de l’Ombre	Lai de l’Ombre	verse		français 1553	990-999	1284
btv1b9059208g_Chanson-de-saint-Alexis_Chanson-de-saint-Alexis	Chanson de saint Alexis	Chanson de saint Alexis			français 1555	115-126	1401-1420
btv1b9058801b_Gerbert-de-Metz_Gerbert-de-Metz	Gerbert de Metz	Gerbert de Metz	verse		français 1582	122-185	1226-1250
btv1b9058801b_Garin-le-Loherain_Version-en-décasyllabes	Garin le Loherain	Version en décasyllabes	verse		français 1582	6-122	1226-1250
btv1b10720646t_Ogier-le-Danois_Version-française-en-décasyllabes	Ogier le Danois	Version française en décasyllabes	verse		français 1583	5-498	1401-1500
btv1b6000803p_Lai-de-l-Ombre_Lai-de-l-Ombre	Lai de l’Ombre	Lai de l’Ombre	verse		français 1593	329-340	1251-1300
btv1b8468308j_Aspremont_Aspremont	Aspremont	Aspremont			français 1598	5-110	1301-1400
btv1b9060717n_chétifs_chétifs	chétifs	chétifs			français 1621	131-156	1246-1255
btv1b9060717n_Conqueste-de-Jerusalem_Conqueste-de-Jerusalem	Conqueste de Jerusalem	Conqueste de Jerusalem	verse		français 1621	156-211	1246-1255
btv1b9060717n_Chevalier-au-cygne_Première-version-en-vers	Chevalier au cygne	Première version en vers	verse		français 1621	3-72	1246-1255
btv1b9060717n_chanson-d-Antioche_Version-du-XIIe-siècle	chanson d'Antioche	Version du XIIe siècle	verse		français 1621	72-131	1246-1255
btv1b9059067n_Gerbert-de-Metz_Gerbert-de-Metz	Gerbert de Metz	Gerbert de Metz	verse		français 1622	131-262	1251-1275
btv1b9059067n_Yon-ou-la-Vengeance-Fromondin_Yon-ou-la-Vengeance-Fromondin	Yon ou la Vengeance Fromondin	Yon ou la Vengeance Fromondin	verse		français 1622	262-318	1251-1275
btv1b9059067n_Garin-le-Loherain_Version-en-décasyllabes	Garin le Loherain	Version en décasyllabes	verse		français 1622	3-131	1251-1275
btv1b9058848r_Tristan_Tristan-en-prose	Tristan	Tristan en prose	prose		français 1628	3-279	1251-1300
btv1b90593186_Doon-de-Mayence_Doon-de-Mayence	Doon de Mayence	Doon de Mayence	verse		français 1637	2-52	1401-1500
